                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 3.0042,                0.47855,                0.10183,                0.63835,                0.50131,                0.52355,                0.32203,                 2.6104,                0.54691,                0.05974,                 0.0001,                 0.0001,                 0.0001
                    109,                 2.9924,                0.47773,                0.10448,                 0.6386,                0.50326,                0.52485,                0.32197,                 2.5814,                 0.5472,                0.05988,                 0.0001,                 0.0001,                 0.0001
                    110,                  2.998,                0.48014,                0.10149,                0.63726,                0.50448,                0.52465,                0.32298,                 2.5812,                 0.5473,                 0.0599,                 0.0001,                 0.0001,                 0.0001
                    111,                  3.012,                0.47823,                0.10435,                0.63664,                0.50345,                0.52378,                0.32296,                 2.6092,                0.54732,                0.05988,                 0.0001,                 0.0001,                 0.0001
                    112,                 3.0104,                0.47918,                0.10334,                0.63538,                0.50545,                0.52444,                0.32291,                 2.6084,                0.54759,                0.06003,                 0.0001,                 0.0001,                 0.0001
                    113,                 2.9941,                0.47864,                0.10122,                0.63858,                0.50749,                0.52626,                0.32394,                 2.6077,                0.54786,                0.05972,                 0.0001,                 0.0001,                 0.0001
                    114,                 2.9928,                0.48116,                0.10138,                0.63579,                0.50959,                0.52616,                0.32445,                  2.579,                0.54739,                0.05972,                 0.0001,                 0.0001,                 0.0001
                    115,                 2.9912,                0.47962,                0.10172,                0.63755,                0.50977,                0.52628,                0.32471,                    nan,                0.54751,                0.05966,                 0.0001,                 0.0001,                 0.0001
                    116,                 3.0093,                0.47817,                0.10325,                0.63748,                0.50879,                0.52565,                0.32457,                    nan,                0.54803,                0.05963,                 0.0001,                 0.0001,                 0.0001
                    117,                 2.9913,                0.47935,                0.10262,                0.63786,                0.50759,                0.52461,                0.32462,                    nan,                0.54808,                0.05974,                 0.0001,                 0.0001,                 0.0001
                    118,                 2.9956,                0.47698,                0.10231,                0.63876,                0.50725,                0.52464,                0.32452,                 2.6058,                0.54818,                0.05959,                 0.0001,                 0.0001,                 0.0001
                    119,                 2.9938,                0.47946,                0.09992,                0.63777,                0.50724,                0.52534,                0.32466,                 2.5773,                0.54812,                0.05941,                 0.0001,                 0.0001,                 0.0001
                    120,                 2.9976,                0.47747,                0.10239,                0.63499,                 0.5089,                0.52391,                0.32375,                 2.6342,                0.54789,                 0.0595,                 0.0001,                 0.0001,                 0.0001
                    121,                 2.9676,                0.47674,                0.10136,                0.63704,                0.51003,                0.52489,                0.32446,                  2.633,                0.54828,                0.05929,                 0.0001,                 0.0001,                 0.0001
                    122,                 2.9997,                0.47871,                0.10222,                0.63598,                0.50906,                0.52606,                 0.3251,                 2.6341,                0.54768,                0.05952,                 0.0001,                 0.0001,                 0.0001
                    123,                 2.9846,                0.47845,                0.09978,                0.63968,                0.50993,                0.52723,                0.32675,                 2.6053,                0.54782,                0.05977,                 0.0001,                 0.0001,                 0.0001
                    124,                 2.9716,                0.47936,                0.09856,                0.63963,                0.51085,                0.52857,                0.32739,                 2.6051,                 0.5475,                0.05969,                 0.0001,                 0.0001,                 0.0001
                    125,                 2.9895,                0.47763,                0.09965,                  0.641,                0.51114,                0.52884,                0.32782,                 2.6045,                0.54789,                 0.0596,                 0.0001,                 0.0001,                 0.0001
                    126,                 2.9703,                0.48039,                0.09852,                0.64006,                0.51055,                0.52853,                0.32771,                 2.6321,                0.54862,                0.05958,                 0.0001,                 0.0001,                 0.0001
